X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.124827638,4.573661625,1639913,12892969,A001571655,2023/06/20 05:00:00+00,05:10:00,2023,JUNIO,MARTES,2023/06/20 10:10:00+00,KR 20 - CL 45 S 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,N,,MASCULINO,33,PEATON
-74.089247024,4.72615016399999,1639915,12769240,A001340872,2021/09/08 05:00:00+00,17:35:00,2021,SEPTIEMBRE,MIERCOLES,2021/09/08 22:35:00+00,KR 91  - CL 130   02,ATROPELLO,SUBA,,PEATON,N,,MASCULINO,39,PEATON
-74.087,4.58600000000001,1639929,12796203,A001391630,2022/02/01 05:00:00+00,13:45:00,2022,FEBRERO,MARTES,2022/02/01 18:45:00+00,KR 10  - CL 3  S 02,ATROPELLO,SAN CRISTOBAL,,PEATON,S,2022/02/04 00:00:00+00,MASCULINO,72,PEATON
-74.093497075,4.61239442200002,1639974,12894842,A001610581,2024/04/15 05:00:00+00,21:52:00,2024,ABRIL,LUNES,2024/04/16 02:52:00+00,KR 30 - CL 12  02,ATROPELLO,PUENTE ARANDA,,PEATON,N,,FEMENINO,24,PEATON
-74.110882457,4.71698957699999,1639994,12865680,A001571538,2023/06/25 05:00:00+00,02:07:00,2023,JUNIO,DOMINGO,2023/06/25 07:07:00+00,CL 83 - KR 103 C 02,ATROPELLO,ENGATIVA,,PEATON,N,,FEMENINO,71,PEATON
-74.072865524,4.615206962,1640008,12875747,A001574107,2023/09/05 05:00:00+00,04:35:00,2023,SEPTIEMBRE,MARTES,2023/09/05 09:35:00+00,AV AVENIDA CARACAS - CL 26  02,ATROPELLO,SANTA FE,,PEATON,S,2023/09/05 05:00:00+00,MASCULINO,34,PEATON
-74.080519879,4.64305419700003,1640017,12739324,A001238149,2021/03/11 05:00:00+00,15:08:00,2021,MARZO,JUEVES,2021/03/11 20:08:00+00,CL 53 - KR 35  72,ATROPELLO,TEUSAQUILLO,,PEATON,N,,FEMENINO,38,PEATON
-74.103500805,4.60527507699999,1640024,12735573,A001182582,2020/09/04 05:00:00+00,18:30:00,2020,SEPTIEMBRE,VIERNES,2020/09/04 23:30:00+00,CL 3 - KR 31 D 02,ATROPELLO,PUENTE ARANDA,,PEATON,S,2020/10/01 00:00:00+00,MASCULINO,72,PEATON
-74.086469298,4.58676310499999,1640053,12762991,A001305831,2021/08/06 05:00:00+00,04:45:00,2021,AGOSTO,VIERNES,2021/08/06 09:45:00+00,KR 10  - CL 2  S 9,CHOQUE,SAN CRISTOBAL,,PEATON,N,,,,PEATON
-74.103924163,4.54637674600002,1640061,12900883,A001675789,2024/07/14 05:00:00+00,11:18:00,2024,JULIO,DOMINGO,2024/07/14 16:18:00+00,CL 48 Q S- KR 1  02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,S,2024/08/08 05:00:00+00,MASCULINO,81,PEATON
